,.SPX,.GDAXI,.FCHI,.FTSE,.OMXSPI,.N225,.KS11,.HSI
105,0.005519538,0.004875788,0.005205197,0.005597342,0.00563078,0.006876682,0.004792532,0.006106807
106,0.003859057,0.007134861,0.006722941,0.006254594,0.007318254,0.008083234,0.006631435,0.005100473
107,0.004053007,0.007429515,0.006498841,0.005751302,0.006943852,0.007660276,0.005789841,0.00759992
108,0.006481009,0.00743736,0.008454816,0.009288466,0.009114749,0.012232972,0.009470356,0.009521353
109,0.008903446,0.007922249,0.008741385,0.006844582,0.006143301,0.007327217,0.007074457,0.004604114
110,0.003625177,0.005626927,0.006131229,0.005298524,0.004994772,0.006877287,0.007093614,0.006134214
111,0.004774714,0.008227691,0.008024416,0.006688095,0.008086175,0.008035969,0.006831026,0.005432476
112,0.005625651,0.007602811,0.007847035,0.007651551,0.006913482,0.008157662,0.009498178,0.006491387
113,0.003984348,0.007243612,0.005721108,0.008248534,0.010344376,0.007404866,0.006641842,0.005126482
114,0.004598387,0.007407801,0.007753425,0.007053079,0.007361296,0.009349847,0.006976906,0.006703265
115,0.003888008,0.004680044,0.005535715,0.006269405,0.005848121,0.006560848,0.005840714,0.006573805
116,0.005005768,0.006109746,0.005473776,0.005488262,0.008786247,0.005277653,0.006263057,0.006895488
117,0.00445646,0.006108504,0.004735778,0.006665297,0.008438658,0.005766602,0.006787003,0.00638651
118,0.006717902,0.008147149,0.005868804,0.006662919,0.007854985,0.006257845,0.010116814,0.006038932
119,0.005214068,0.011322379,0.010486078,0.009025919,0.009068947,0.007133041,0.006454066,0.004586582
120,0.0052072,0.006532943,0.006283194,0.006644933,0.006732642,0.00552905,0.009380009,0.005911853
121,0.007311,0.009442623,0.010854815,0.007208699,0.007219464,0.005770044,0.007295748,0.006406813
122,0.006111136,0.006379109,0.005926012,0.006785315,0.003618546,0.006000232,0.008371768,0.004551409
123,0.004578144,0.006329996,0.007540749,0.006162666,0.004687508,0.007757002,0.00761137,0.004553549
124,0.003836961,0.005377043,0.005570517,0.006094584,0.007397577,0.006157967,0.009406811,0.005462049
125,0.004375142,0.005587629,0.005663308,0.005392416,0.006026808,0.006553344,0.006554484,0.005658924
126,0.005533039,0.00508924,0.004696172,0.005349112,0.005598312,0.005486593,0.007800537,0.004012269
127,0.00555614,0.007418143,0.006912188,0.006711852,0.006148016,0.00734601,0.005456263,0.004998205
128,0.005117792,0.004500847,0.004620869,0.004666027,0.004767638,0.006116236,0.006203725,0.004754765
129,0.00696186,0.008779579,0.007290342,0.010051086,0.00765416,0.01005826,0.011338605,0.006410155
130,0.004145635,0.007842377,0.005610917,0.006753488,0.0088024,0.006614793,0.006916218,0.00727536
131,0.006158182,0.00571277,0.006387951,0.006022471,0.01037259,0.004393569,0.012075652,0.007791276
132,0.003561051,0.007611861,0.005655369,0.005192313,0.005156874,0.004934668,0.013943403,0.008414513
133,0.005580956,0.008613505,0.00679781,0.005154293,0.005729075,0.007118463,0.014053335,0.008057193
134,0.008623816,0.014057075,0.012253017,0.012721518,0.012170983,0.005194713,0.010439913,0.007274177
135,0.007248895,0.015591214,0.013409396,0.011420081,0.016549701,0.008222406,0.011312878,0.004573845
136,0.004836394,0.008311286,0.006890555,0.007388771,0.022871564,0.004246038,0.011305628,0.003338024
137,0.008143074,0.009635407,0.009392218,0.007777186,0.008839915,0.005937389,0.009891577,0.006172497
138,0.008055428,0.010302423,0.010023244,0.007488561,0.009706627,0.005289826,0.008357758,0.004000356
139,0.004886611,0.0071474,0.006687415,0.008878503,0.010192045,0.003681194,0.008340494,0.004885312
140,0.00686872,0.008522367,0.008861468,0.007111847,0.007742981,0.003856245,0.007906482,0.004214552
141,0.004255151,0.006707285,0.006146309,0.005191384,0.005562713,0.004995479,0.006317208,0.006400778
142,0.007196579,0.007878973,0.005841252,0.00646238,0.006126601,0.004735907,0.011101652,0.009158302
143,0.008811503,0.011078185,0.010456688,0.008507896,0.009455727,0.004984409,0.010265631,0.005726386
144,0.01043515,0.010125475,0.008263238,0.007493667,0.010347992,0.006389832,0.011800143,0.009463506
145,0.008955181,0.00936346,0.007377992,0.007948739,0.008224796,0.005831047,0.012871484,0.007629967
146,0.00841515,0.00897009,0.007892824,0.008936004,0.007601779,0.005133359,0.01130043,0.007385587
147,0.007840164,0.007642274,0.005177775,0.007123975,0.00738087,0.004089186,0.005722335,0.005961145
148,0.008809041,0.007502819,0.007068288,0.007717046,0.006184222,0.004959506,0.008171489,0.006415682
149,0.003165734,0.006494507,0.00462398,0.006963277,0.008558413,0.003660078,0.006299581,0.005605247
150,0.004588458,0.011477103,0.006240756,0.006618866,0.006521268,0.004860467,0.008619987,0.006271013
151,0.004261987,0.010076193,0.006048875,0.005979945,0.005457877,0.004624868,0.0120785,0.009499574
152,0.003940935,0.00732864,0.003959939,0.005221314,0.005453352,0.003316707,0.010214119,0.007153159
153,0.008635367,0.01003256,0.009083094,0.006183858,0.006693036,0.003408701,0.008845304,0.006988033
154,0.007002727,0.012126884,0.008415692,0.01003098,0.008400217,0.004326911,0.009442458,0.008786386
155,0.007007859,0.007795409,0.007054292,0.00732697,0.005464348,0.007482087,0.00956167,0.007845875
156,0.004339369,0.009591796,0.006470856,0.00956451,0.008478299,0.004780757,0.007741838,0.006760746
157,0.00820055,0.010808111,0.007386918,0.010233973,0.007625124,0.005637895,0.012176468,0.005825663
158,0.005951211,0.007145721,0.00628584,0.008069487,0.006290503,0.005144077,0.013549457,0.005629566
